"Skill","RelativePath","RootHash","DocumentSkillsHash"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-chartDrawing.xsd","3FD0586F2637B98BB9886F0E0B67D89E1CC987C2D158CC7DEB5F5B9890CED412","71A6E04D3DBB21E4B705DA8BB9A3C71E4295A389C15C09BD255F216DE238097B"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-diagram.xsd","29B254EE0D10414A8504B5A08149C7BAEC35A60D5FF607D6B3F492AA36815F40","809F77F658F71E10F5CFBF99E25C895A23A4E62C81210B59A2FE8C7FB24849D2"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-lockedCanvas.xsd","5CB76DABD8B97D1E9308A1700B90C20139BE4D50792D21A7F09789F5CCCD6026","06555CED1E626EBCD9BB4A495B78D9596555F945B09161DEA6C4CD4D8874A0BA"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-main.xsd","5375417F0F5394B8DD1A7035B9679151F19A6B65DF309DEC10CFB4A420CB00E9","6978BA7E889070B0C3CB5B546B23E5A6C3516134AFC53B87A21F482CA33F3858"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-picture.xsd","5D389D42BEFBEBD91945D620242347CAECD3367F9A3A7CF8D97949507AE1F53C","17581A2683F0ECBFD4C64656F1DFF7236A4563127B5D056DA750A9FD61E26F67"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-spreadsheetDrawing.xsd","B4532B6D258832953FBB3EE4C711F4FE25D3FAF46A10644B2505F17010D01E88","AABCBB126609A518A78B007C1E6AB76E1016F136964F3AFB3A5EDA51584E983D"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\dml-wordprocessingDrawing.xsd","BDAD416B096B61D37B71603B2C949484F9070C830BDAEBA93BF35E15C8900614","2DBFD4719505BF39B568005994A433997CBEAC59CEBC9D4867D564C94E9BA03A"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\pml.xsd","D173C3E5D61E42E2E3A97226C632FD2AB7CC481FC4E492365B87024AB546DAFF","39C6396B7B1F096885C3CEBA5DAB30E3EE14291C45A1D6FA6038EC4DB69D88D0"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-additionalCharacteristics.xsd","3C6709101C6AAA82888DF5D8795C33F9E857196790EB320D9194E64BE2B6BDD8","57567431DCAF5DAE08C5F7AE1EEB2C9A4D2D762A912CD09758F620469D226947"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-bibliography.xsd","0B364451DC36A48DD6DAE0F3B6ADA05FD9B71E5208211F8EE5537D7E51A587E2","6EC3425C89D6BF6EEC5DD0D82C0ED0FB606064B6D4692A696323EE86814DE0E4"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-commonSimpleTypes.xsd","E2ABACBB9A55CE1365F8961BC1B1395BBC811E512B111000D8C333F98458DECE","D90722AF8F1439AE6B82D57858EE0B0720E320EB309CF30371666338AA66D106"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-customXmlDataProperties.xsd","0EF4BB354FF44B923564C4DDBDDA5987919D220225129EC94614A618CEAFC281","1624B1EE04781508421FD5D8A7A8FD054196BE5E1E122736C7ED350161BF4B89"
